n_bins,strategy,method,initial_mi,mean_mi,std_mi,min_mi,max_mi,n_runs,mean_improvement
4,uniform,N/A,0.037724889919106275,0.016247660792108865,0.012527093643199047,0.0,0.03242555642855982,10,-0.02147722912699741
4,quantile,inverted_cdf,0.037724889919106275,0.019324455969027654,0.020440617548735322,0.0,0.05979125883762326,10,-0.01840043395007862
4,quantile,averaged_inverted_cdf,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,quantile,closest_observation,0.037724889919106275,0.019324455969027654,0.020440617548735322,0.0,0.05979125883762326,10,-0.01840043395007862
4,quantile,interpolated_inverted_cdf,0.037724889919106275,0.019324455969027654,0.020440617548735322,0.0,0.05979125883762326,10,-0.01840043395007862
4,quantile,hazen,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,quantile,weibull,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,quantile,linear,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,quantile,median_unbiased,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,quantile,normal_unbiased,0.037724889919106275,0.019885511682171897,0.020555753332078947,0.0,0.06376938165377433,10,-0.017839378236934378
4,kmeans,N/A,0.037724889919106275,0.01231581980446208,0.010473267850701405,0.0,0.0328326933158507,10,-0.025409070114644196
8,uniform,N/A,0.037724889919106275,0.016464698432328027,0.015688929275968055,0.0,0.03873163803519142,10,-0.021260191486778247
8,quantile,inverted_cdf,0.037724889919106275,0.030705833223695467,0.020891846642273334,0.0037214744463462957,0.07174550685325154,10,-0.007019056695410808
8,quantile,averaged_inverted_cdf,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,quantile,closest_observation,0.037724889919106275,0.030705833223695467,0.020891846642273334,0.0037214744463462957,0.07174550685325154,10,-0.007019056695410808
8,quantile,interpolated_inverted_cdf,0.037724889919106275,0.030705833223695467,0.020891846642273334,0.0037214744463462957,0.07174550685325154,10,-0.007019056695410808
8,quantile,hazen,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,quantile,weibull,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,quantile,linear,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,quantile,median_unbiased,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,quantile,normal_unbiased,0.037724889919106275,0.028602863889000997,0.021992770756287753,0.0,0.07270171099270972,10,-0.009122026030105278
8,kmeans,N/A,0.037724889919106275,0.0146472852424405,0.014453517570670312,0.0,0.047784190832266926,10,-0.023077604676665774
16,uniform,N/A,0.037724889919106275,0.028574799561701437,0.012008411179657312,0.008984934663879729,0.05040912212716919,10,-0.009150090357404838
16,quantile,inverted_cdf,0.037724889919106275,0.03694458463817454,0.01953028635008045,0.003500101885807849,0.07108825254316531,10,-0.0007803052809317382
16,quantile,averaged_inverted_cdf,0.037724889919106275,0.03899362807423188,0.019949690162824073,0.003186052029272801,0.07282759635765745,10,0.0012687381551256052
16,quantile,closest_observation,0.037724889919106275,0.03351916926877565,0.020904409707155944,0.001035073760568439,0.06912364340426036,10,-0.004205720650330626
16,quantile,interpolated_inverted_cdf,0.037724889919106275,0.03694458463817454,0.01953028635008045,0.003500101885807849,0.07108825254316531,10,-0.0007803052809317382
16,quantile,hazen,0.037724889919106275,0.03899362807423188,0.019949690162824073,0.003186052029272801,0.07282759635765745,10,0.0012687381551256052
16,quantile,weibull,0.037724889919106275,0.037437054189695784,0.018909983609349746,0.0,0.0685544829296143,10,-0.0002878357294104905
16,quantile,linear,0.037724889919106275,0.03864594899513072,0.020452100017708228,0.00926146844852771,0.07573448144176131,10,0.0009210590760244455
16,quantile,median_unbiased,0.037724889919106275,0.037437054189695784,0.018909983609349746,0.0,0.0685544829296143,10,-0.0002878357294104905
16,quantile,normal_unbiased,0.037724889919106275,0.037437054189695784,0.018909983609349746,0.0,0.0685544829296143,10,-0.0002878357294104905
16,kmeans,N/A,0.037724889919106275,0.026470848196304166,0.009258962564422,0.015489337693610716,0.04362651597836553,10,-0.01125404172280211
32,uniform,N/A,0.037724889919106275,0.02535098773736071,0.016091329863309956,0.0,0.04794802766302353,10,-0.012373902181745566
32,quantile,inverted_cdf,0.037724889919106275,0.030480404103907087,0.016891942494102374,0.002601385317244187,0.05756115513852578,10,-0.007244485815199188
32,quantile,averaged_inverted_cdf,0.037724889919106275,0.031175120070236262,0.015220671475460764,0.005260816632161047,0.04940421533537864,10,-0.006549769848870013
32,quantile,closest_observation,0.037724889919106275,0.029340393402569043,0.014540615693604266,0.0023410773544711994,0.050986019808716865,10,-0.008384496516537231
32,quantile,interpolated_inverted_cdf,0.037724889919106275,0.030480404103907087,0.016891942494102374,0.002601385317244187,0.05756115513852578,10,-0.007244485815199188
32,quantile,hazen,0.037724889919106275,0.032252428702447065,0.015326624242192118,0.008358644876093502,0.056848186300284986,10,-0.005472461216659209
32,quantile,weibull,0.037724889919106275,0.03281279332618792,0.01243341712708368,0.011413513393301322,0.049366881820365194,10,-0.004912096592918358
32,quantile,linear,0.037724889919106275,0.029823395834259036,0.015662625471871843,0.009502421251752935,0.05719312363427642,10,-0.007901494084847239
32,quantile,median_unbiased,0.037724889919106275,0.031867920311776765,0.013047086759399066,0.00820221386578912,0.04997869868695948,10,-0.00585696960732951
32,quantile,normal_unbiased,0.037724889919106275,0.031867920311776765,0.013047086759399066,0.00820221386578912,0.04997869868695948,10,-0.00585696960732951
32,kmeans,N/A,0.037724889919106275,0.02300130767067925,0.01829487589067479,0.0,0.050681027376460186,10,-0.014723582248427024
64,uniform,N/A,0.037724889919106275,0.02242372533742647,0.014235608963309145,0.0,0.04702193383006614,10,-0.015301164581679804
64,quantile,inverted_cdf,0.037724889919106275,0.028952343122931712,0.012669273367710142,0.008488629557841465,0.053771801037707956,10,-0.008772546796174563
64,quantile,averaged_inverted_cdf,0.037724889919106275,0.02867417386997444,0.01360026474027996,0.011869043030875881,0.05679189811590368,10,-0.009050716049131834
64,quantile,closest_observation,0.037724889919106275,0.03388322826065855,0.0124117869802066,0.011589715056631533,0.05519283366577499,10,-0.003841661658447723
64,quantile,interpolated_inverted_cdf,0.037724889919106275,0.028952343122931712,0.012669273367710142,0.008488629557841465,0.053771801037707956,10,-0.008772546796174563
64,quantile,hazen,0.037724889919106275,0.035792964054126644,0.01547955670139396,0.014126189482947415,0.06488385447057077,10,-0.0019319258649796306
64,quantile,weibull,0.037724889919106275,0.037747117538964495,0.015796270223852778,0.010775849125373105,0.06817852356941678,10,2.222761985821997e-05
64,quantile,linear,0.037724889919106275,0.02448210652399001,0.01530507230170932,0.001456563190333826,0.05399906196438331,10,-0.013242783395116264
64,quantile,median_unbiased,0.037724889919106275,0.03600939801668772,0.015597589032412946,0.00989241135813268,0.06592697433514871,10,-0.001715491902418556
64,quantile,normal_unbiased,0.037724889919106275,0.03546262545056407,0.015606333921659223,0.011152292781057671,0.06477853138989564,10,-0.002262264468542205
