Column,fd,doane,scott,stone,rice,sturges,sqrt
2,22,14,15,21,17,11,24
3,22,14,17,19,17,11,24
4,21,14,15,16,17,11,24
5,27,15,16,21,17,11,24
6,25,13,19,25,17,11,24
7,21,14,15,20,17,11,24
8,18,15,13,18,17,11,24
9,16,14,13,12,17,11,24
10,25,14,18,19,17,11,24
11,24,14,16,67,17,11,24
12,47,16,24,56,17,11,24
13,30,15,20,44,17,11,24
14,51,16,25,64,17,11,24
15,82,16,28,97,17,11,24
16,41,15,24,40,17,11,24
17,29,15,18,24,17,11,24
18,61,16,32,38,17,11,24
19,31,15,21,22,17,11,24
20,36,15,21,54,17,11,24
21,52,16,26,43,17,11,24
22,21,14,14,33,17,11,24
23,18,13,15,26,17,11,24
24,21,14,15,31,17,11,24
25,30,15,17,50,17,11,24
26,22,13,16,25,17,11,24
27,23,15,16,17,17,11,24
28,20,14,15,6,17,11,24
29,13,13,11,37,17,11,24
30,32,15,20,23,17,11,24
31,31,15,21,37,17,11,24
